band,mean,std
dis_m3_pyr,0.018101881738581696,15.092468266963109233
dis_m3_pmn,0.008131701175475847,9.661238020038695409
dis_m3_pmx,0.035901924977248936,22.549512872373836024
run_mm_syr,0.04682384610280057,3.7058055465761788017
inu_pc_smn,0.004450649025221261,0.4164924609039408699
inu_pc_umn,0.00400144322125403,0.41324371173665009363
inu_pc_smx,0.007619549671726858,0.6163644027772268231
inu_pc_umx,0.006603008167436928,0.5738998131205961793
inu_pc_slt,0.010874289784188312,0.7539897567561427725
inu_pc_ult,0.009243718114324997,0.6874103566033618938
lka_pc_sse,0.019287918002346877,2.661483994968121993
lka_pc_use,0.014661318116191912,1.8158513107814549703
lkv_mc_usu,3.5352370713361374,4743.099101982415069
rev_mc_usu,0.09157738137425575,59.26582470530409821
dor_pc_pva,0.025695138390707868,6.955447342378947733
ria_ha_ssu,0.0050435689562505276,0.5100101447389658651
ria_ha_usu,0.565841941317294,341.64465072624474
riv_tc_ssu,0.16055681904267355,67.97062139945064578
riv_tc_usu,18.014923740165,18539.13805644906526
gwt_cm_sav,0.03331014011768015,1.9654888158316360636
ele_mt_sav,0.09390907586604748,6.5694068859413186465
ele_mt_uav,0.10936488778942013,7.569725325032444558
ele_mt_smn,0.0727226108632011,5.7408079369736952956
ele_mt_smx,0.12978173319637462,8.1310726366247842315
slp_dg_sav,0.0011540535366111409,6.3277373033452232846
slp_dg_uav,0.004088670240035484,6.3488507950096695655
sgr_dk_sav,0.04351290249256652,8.004192538198881498
clz_cl_smj,0.0,1.0
cls_cl_smj,0.0,1.0
tmp_dc_syr,0.06941112115382009,4.89940331020836374
tmp_dc_uyr,0.06620575156916919,4.8319732080152237013
tmp_dc_smn,-0.03091630863392569,6.1181833811702318335
tmp_dc_smx,0.16799967174095007,6.3454739900523212904
tmp_dc_s01,-0.0167323127922028,6.460163244742460411
tmp_dc_s02,-0.006025060026973616,6.32200383563158953
tmp_dc_s03,0.024184249874733114,5.8044448301169949906
tmp_dc_s04,0.06658127362957934,5.2546065089637892234
tmp_dc_s05,0.10679918537929489,5.1504664103610093523
tmp_dc_s06,0.1372946445978685,5.5080659403173119018
tmp_dc_s07,0.15188153423124265,5.7955660167514666237
tmp_dc_s08,0.14518118587541012,5.636374918646333663
tmp_dc_s09,0.1192334552363598,5.2005791643634644928
tmp_dc_s10,0.07860783260801713,5.0172697908402507424
tmp_dc_s11,0.029168705032179613,5.533506055919040203
tmp_dc_s12,-0.003677285691621394,6.1029383045989183576
pre_mm_syr,0.11100046892132492,6.9364143320236494824
pre_mm_uyr,0.1120946868704449,6.9316549174906187886
pre_mm_s01,0.008876614577388997,0.69357622734665387945
pre_mm_s02,0.008287185809409736,0.64470686638451133116
pre_mm_s03,0.009070070463123683,0.6839838527715964999
pre_mm_s04,0.00866509595546726,0.6321932961890133705
pre_mm_s05,0.008999584204578737,0.6520735963165902248
pre_mm_s06,0.00964938097600948,0.70851404013176637586
pre_mm_s07,0.011027128616582142,0.80148911051407055516
pre_mm_s08,0.010901721735841741,0.76759409133060024213
pre_mm_s09,0.009705002321223772,0.67111533256002130004
pre_mm_s10,0.008839408912327323,0.61445857153198564873
pre_mm_s11,0.008317751976889031,0.59708353896600076016
pre_mm_s12,0.008653583385777586,0.65557615283273389356
pet_mm_syr,0.17878735192940032,9.088688851283603895
pet_mm_uyr,0.17617838480833145,8.9332801730174091525
pet_mm_s01,0.011385756506362288,0.72172865003195441416
pet_mm_s02,0.01103074279116416,0.66984120171927662965
pet_mm_s03,0.013622575804426551,0.7737012690895601916
pet_mm_s04,0.01517129080539686,0.79700867221713405226
pet_mm_s05,0.017845020272910187,0.8841036292685606893
pet_mm_s06,0.01886244095545369,0.90497781181560909007
pet_mm_s07,0.01963104874522343,0.92985753419422409704
pet_mm_s08,0.0183657267954556,0.8835903798373195562
pet_mm_s09,0.015714593331114125,0.79777104294997128983
pet_mm_s10,0.014020892150163767,0.77584249546028217207
pet_mm_s11,0.011805505478842484,0.7119938040077330509
pet_mm_s12,0.011336262206298587,0.7194638385197632995
aet_mm_syr,0.07727838398719925,4.4724807893517487954
aet_mm_uyr,0.07759367097626187,4.457099917534031563
aet_mm_s01,0.005082675221758091,0.3888697067215346739
aet_mm_s02,0.004882360815826407,0.36463692313710957565
aet_mm_s03,0.005974742868793572,0.41000975781210231301
aet_mm_s04,0.006753932609116998,0.40348027794042417898
aet_mm_s05,0.00806064255797348,0.43159703199559121682
aet_mm_s06,0.008376126753394818,0.42861695398689470657
aet_mm_s07,0.00852907983517867,0.43931918666722028847
aet_mm_s08,0.007757605116111459,0.42649485538524951151
aet_mm_s09,0.0064476236682104796,0.39686808399698534944
aet_mm_s10,0.005669864496954586,0.38958906359696595374
aet_mm_s11,0.004867631760398513,0.35906528578619478453
aet_mm_s12,0.004871185025429462,0.37201977396990468808
ari_ix_sav,0.08844885849658833,6.0935897544188905813
ari_ix_uav,0.09185054431849772,6.4037905231748071364
cmi_ix_syr,-0.02136579871704186,1.5764524011396031836
cmi_ix_uyr,-0.020412658378827317,1.6038544387965349146
cmi_ix_s01,0.02055259543536027,2.416994309696505066
cmi_ix_s02,0.016114194474521625,2.4040890733833196527
cmi_ix_s03,0.0022621442886324233,2.113558573576804883
cmi_ix_s04,-0.018136360913227623,1.9251330290263328887
cmi_ix_s05,-0.03829336482709531,1.9088814513761468397
cmi_ix_s06,-0.04074763355062252,1.950904700534931002
cmi_ix_s07,-0.037546099997624635,1.8794215062846337029
cmi_ix_s08,-0.029786134635770567,1.7823859156306290334
